scenario,K,optimizer,coverage_pct,gamma_mean,d_mean_m,solar_mean,scalar_score4,idxs_str,weights
FLAT,10,Random,22.74819197896121,1.0,3450.810633809653,1.0,0.6753896669722319,"763,469,769,671,41,55,427,34,284,150","(0.25, 0.25, 0.25, 0.25)"
FLAT,10,Greedy,20.51282051282051,1.0,4321.771459231667,1.0,0.6997146644300433,"68,783,756,27,0,750,646,50,114,641","(0.25, 0.25, 0.25, 0.25)"
FLAT,10,Simple-NSGA,24.917817225509534,1.0,3918.0458505567913,1.0,0.6968610719785591,"37,53,193,394,707,47,702,693,57,781","(0.25, 0.25, 0.25, 0.25)"
FLAT,10,Seeded-NSGA,26.561472715318867,1.0,3662.149537847714,1.0,0.6921813705830875,"68,752,679,109,30,713,590,247,170,613","(0.25, 0.25, 0.25, 0.25)"
DEM,10,Random,22.978303747534518,0.9123854833333332,3118.9935026313424,0.7145243696888418,0.5712960449101945,"64,184,145,696,53,207,727,75,622,437","(0.25, 0.25, 0.25, 0.25)"
DEM,10,Greedy,26.347797501643655,0.9926326111111111,3571.942170537431,0.9577842438107392,0.676153195603696,"76,703,725,144,81,715,562,42,554,93","(0.25, 0.25, 0.25, 0.25)"
DEM,10,Simple-NSGA,25.69033530571992,0.9614394022222224,3511.186237281063,0.8843335999196684,0.6462618950981298,"719,289,30,725,73,389,93,542,81,701","(0.25, 0.25, 0.25, 0.25)"
DEM,10,Seeded-NSGA,25.88757396449704,0.9822542977777777,3764.255746506643,0.9044881234294453,0.665689099168107,"76,703,725,30,81,715,562,222,144,556","(0.25, 0.25, 0.25, 0.25)"
DSM/CHM,10,Random,14.464168310322156,0.5508008398748947,2714.1793304262123,0.7961504832698572,0.4661176025544805,"108,458,256,578,2,719,492,366,609,406","(0.25, 0.25, 0.25, 0.25)"
DSM/CHM,10,Greedy,17.52136752136752,0.6677593344186541,3378.424574372164,0.9757356324843618,0.5707102253563918,"49,715,116,554,81,648,95,696,283,73","(0.25, 0.25, 0.25, 0.25)"
DSM/CHM,10,Simple-NSGA,16.38724523339908,0.6078655485464716,3663.7881829217013,0.8253168771094742,0.5250976880776932,"780,50,583,716,110,616,72,536,115,40","(0.25, 0.25, 0.25, 0.25)"
DSM/CHM,10,Seeded-NSGA,17.636423405654174,0.6662571491235736,3375.47568166075,0.9751385792978455,0.5703717747901134,"49,715,116,554,81,648,95,696,283,72","(0.25, 0.25, 0.25, 0.25)"
FLAT,20,Random,44.44444444444444,1.0,3050.6867274394463,1.0,0.7158879155121094,"537,91,137,250,750,124,655,27,704,532,132,569,99,317,380,23,186,113,502,452","(0.25, 0.25, 0.25, 0.25)"
FLAT,20,Greedy,46.7619986850756,1.0,3707.145310537729,1.0,0.744228079608948,"68,783,756,27,0,750,646,50,114,641,735,165,34,744,478,305,254,501,159,595","(0.25, 0.25, 0.25, 0.25)"
FLAT,20,Simple-NSGA,50.31229454306377,1.0,3089.490415875637,1.0,0.7318902657601292,"730,219,147,655,344,360,78,529,253,2,589,744,43,35,578,725,379,570,394,186","(0.25, 0.25, 0.25, 0.25)"
FLAT,20,Seeded-NSGA,51.87376725838264,1.0,3099.7062966159974,1.0,0.7361448152165121,"68,781,686,51,30,339,618,542,170,613,707,166,748,323,330,478,232,472,607,214","(0.25, 0.25, 0.25, 0.25)"
