scenario,K,optimizer,coverage_pct,gamma_mean,d_mean_m,solar_mean,scalar_score4,idxs_str,weights
FLAT,10,Random,10.71663379355687,1.0,5229.8034030952695,1.0,0.6465594528427211,"59,233,27,772,259,752,101,684,733,444","(0.25, 0.25, 0.25, 0.25)"
FLAT,10,Greedy,8.744247205785667,1.0,6851.261322073682,1.0,0.6787615377753113,"38,783,756,27,0,780,672,111,84,698","(0.25, 0.25, 0.25, 0.25)"
FLAT,10,Simple-NSGA,8.744247205785667,1.0,6752.230467587686,1.0,0.6764936295138801,"47,780,757,56,645,54,755,0,27,774","(0.25, 0.25, 0.25, 0.25)"
FLAT,10,Seeded-NSGA,6.377383300460224,1.0,7070.770868138315,1.0,0.6778713720288313,"0,783,756,27,2,781,758,25,56,727","(0.25, 0.25, 0.25, 0.25)"
DEM,10,Random,10.239973701512163,0.9161838711111111,4874.7724100062605,0.7779022377787175,0.5607587555158822,"40,315,553,677,244,14,109,617,84,533","(0.25, 0.25, 0.25, 0.25)"
DEM,10,Greedy,10.239973701512163,0.9834468766666667,5908.439613732582,0.9188184910765538,0.6364756106561154,"302,729,24,724,4,641,645,51,34,721","(0.25, 0.25, 0.25, 0.25)"
DEM,10,Simple-NSGA,11.061801446416831,0.9687412311111112,6075.402033486609,0.8232468159223577,0.6147844607051902,"732,558,162,720,88,754,23,728,645,3","(0.25, 0.25, 0.25, 0.25)"
DEM,10,Seeded-NSGA,9.566074950690336,0.9368153177777778,6514.079242412832,0.8493465719794326,0.6196347637040505,"51,754,27,4,699,645,757,195,116,759","(0.25, 0.25, 0.25, 0.25)"
DSM/CHM,10,Random,6.788297172912558,0.5919265240322507,4170.529947790862,0.7925410702922303,0.45859705998942735,"471,568,50,234,348,366,108,533,585,290","(0.25, 0.25, 0.25, 0.25)"
DSM/CHM,10,Greedy,7.610124917817225,0.6686265293498641,5739.068708099072,0.9754913893962257,0.5614853587834564,"160,673,726,3,24,558,142,688,222,5","(0.25, 0.25, 0.25, 0.25)"
DSM/CHM,10,Simple-NSGA,7.149901380670612,0.6194687019631524,5930.639878348556,0.9166579067346874,0.5377241489495812,"24,3,28,373,730,767,162,695,726,19","(0.25, 0.25, 0.25, 0.25)"
DSM/CHM,10,Seeded-NSGA,7.938856015779093,0.6768954382823706,5769.347896912537,0.8958119745569096,0.545147984568855,"188,701,3,726,51,586,141,745,116,194","(0.25, 0.25, 0.25, 0.25)"
FLAT,20,Random,21.959237343852728,1.0,4690.67170962251,1.0,0.6623192923094918,"588,164,462,622,166,55,678,116,498,579,58,124,723,276,505,665,418,628,370,747","(0.25, 0.25, 0.25, 0.25)"
FLAT,20,Greedy,20.364891518737675,1.0,6151.391492824645,1.0,0.6917854107792112,"38,783,756,27,0,780,672,111,84,698,731,52,31,749,589,194,169,586,735,48","(0.25, 0.25, 0.25, 0.25)"
FLAT,20,Simple-NSGA,23.011176857330703,1.0,5267.9856754570255,1.0,0.6781702237481979,"500,342,166,727,642,394,693,105,729,744,712,40,45,646,29,54,561,88,255,507","(0.25, 0.25, 0.25, 0.25)"
FLAT,20,Seeded-NSGA,13.461538461538462,1.0,6377.068397649765,1.0,0.6796952610018551,"38,783,756,27,2,780,758,14,83,727,700,84,29,754,729,54,165,775,760,24","(0.25, 0.25, 0.25, 0.25)"
DEM,20,Random,18.951347797501644,0.8663899911111113,4268.244463314399,0.7813555157719291,0.5570619274379968,"574,20,464,580,322,749,146,387,763,276,507,115,213,247,34,562,430,751,587,523","(0.25, 0.25, 0.25, 0.25)"
DEM,20,Greedy,21.12097304404997,0.9855515633333335,5447.512352060004,0.9067859915475758,0.6506404481834135,"302,729,24,724,4,641,645,51,34,721,135,732,19,699,116,306,477,193,688,563","(0.25, 0.25, 0.25, 0.25)"
DEM,20,Simple-NSGA,20.381328073635764,0.9332910683333333,5429.474388103378,0.817345341702899,0.6129529616486139,"732,211,754,725,641,25,1,308,160,110,603,421,88,769,665,42,737,751,729,18","(0.25, 0.25, 0.25, 0.25)"
DEM,20,Seeded-NSGA,21.12097304404997,0.9855515633333335,5447.512352060004,0.9067859915475758,0.6506404481834135,"302,729,24,724,4,641,645,51,34,721,135,732,19,699,116,306,477,193,688,563","(0.25, 0.25, 0.25, 0.25)"
DSM/CHM,20,Random,12.047994740302432,0.5419192345342889,4769.812617406868,0.8267453970024985,0.4815197517420078,"527,197,640,581,645,3,453,642,725,207,647,181,49,219,188,523,1,440,592,18","(0.25, 0.25, 0.25, 0.25)"
